year;location;environ;strain;family;set;spot;height;R8;planting;flower;maturity;lodging;yield;moisture;protein;oil;fiber;size;EID
2012;IA;IA_2012;DS11-02003;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2265;7.4;32.85;19.78;4.82;14.59;1
2012;IA;IA_2012;DS11-02005;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2835;7.34;32.61;19.3;4.89;15.15;1
2012;IA;IA_2012;DS11-02006;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2433;7.28;31.09;20.1;4.94;14.8;1
2012;IA;IA_2012;DS11-02007;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2769;8.33;32.54;19.71;4.85;14.33;1
2012;IA;IA_2012;DS11-02014;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2969;7.35;32.75;19.5;4.86;14.68;1
2012;IA;IA_2012;DS11-02017;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2310;7.2;33.49;19.33;4.79;15.38;1
2012;IA;IA_2012;DS11-02019;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2859;7.85;32.47;20.17;4.83;14.83;1
2012;IA;IA_2012;DS11-02022;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2556;7.25;32.56;19.93;4.81;15.56;1
2012;IA;IA_2012;DS11-02023;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2543;7.44;32.88;19.21;4.92;12.57;1
2012;IA;IA_2012;DS11-02024;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;1693;7.01;34.01;19.57;4.76;14.03;1
2012;IA;IA_2012;DS11-02025;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;1790;7.2;33.11;19.24;4.87;13.36;1
2012;IA;IA_2012;DS11-02026;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;1941;7.34;31.29;20.28;4.91;13.56;1
2012;IA;IA_2012;DS11-02027;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2604;7.36;32.16;20.31;4.81;16.03;1
2012;IA;IA_2012;DS11-02029;2;2A;2A_IA_2012;NA;NA;520;NA;NA;NA;2199;7.54;33.63;19.8;4.75;15.65;1
